City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
174,Kovur,IN,14.4833,79.9833,73.85,89,9,3.31,clear sky
175,Tilichiki,RU,60.4667,166.1,9.52,95,99,7.76,light snow
176,Changji,CN,44.0167,87.3167,-1.41,84,43,2.24,mist
177,Romny,UA,50.751,33.4747,30.38,85,100,3.91,overcast clouds
178,Glendive,US,47.1053,-104.7125,22.69,86,100,13.8,overcast clouds
179,Nikolskoye,RU,59.7035,30.7861,17.8,93,99,8.25,overcast clouds
180,Naron,ES,43.5167,-8.1528,62.6,93,96,10.45,overcast clouds
181,Sao Paulo De Olivenca,BR,-3.3783,-68.8725,75.34,91,68,2.42,moderate rain
182,Sanchor,IN,24.7553,71.7722,64.63,41,0,10.38,clear sky
183,Khatanga,RU,71.9667,102.5,5.63,92,100,19.84,light snow
184,Sijunjung,ID,-0.6876,100.9537,71.19,95,92,1.66,overcast clouds
185,Shiraz,IR,29.6036,52.5388,33.24,93,94,0.0,overcast clouds
186,San Julian,MX,21.0167,-102.1667,64.83,32,11,7.43,few clouds
187,Tautira,PF,-17.7333,-149.15,77.45,77,100,12.62,light rain
188,Amalapuram,IN,16.5833,82.0167,73.45,94,12,3.65,few clouds
189,Atuona,PF,-9.8,-139.0333,78.48,78,17,18.75,light rain
190,Naze,JP,28.3667,129.4833,60.49,68,89,12.33,overcast clouds
191,East London,ZA,-33.0153,27.9116,70.88,91,100,21.0,overcast clouds
192,Eldorado,BR,-23.7869,-54.2836,71.89,98,96,4.12,overcast clouds
193,Madimba,TZ,-10.4,40.3333,76.73,85,9,3.4,light rain
194,Opuwo,NA,-18.0607,13.84,64.17,29,96,5.39,overcast clouds
195,Caravelas,BR,-17.7125,-39.2481,74.71,94,73,10.25,broken clouds
196,Sangin,AF,32.0728,64.8359,44.82,65,0,6.8,clear sky
197,Birao,CF,10.2849,22.7882,67.17,18,18,5.99,few clouds
198,Haines Junction,CA,60.7522,-137.5108,17.83,96,96,5.12,overcast clouds
199,Lieksa,FI,63.3167,30.0167,15.19,91,100,19.35,light snow
200,Port Blair,IN,11.6667,92.75,78.51,79,87,7.38,overcast clouds
201,Saint Anthony,US,45.0205,-93.218,34.92,79,100,4.0,overcast clouds
202,Kavieng,PG,-2.5744,150.7967,83.53,71,97,6.24,overcast clouds
203,Namtsy,RU,62.7161,129.6658,-37.3,99,100,3.11,overcast clouds
204,Port Elizabeth,ZA,-33.918,25.5701,71.1,97,100,1.99,overcast clouds
205,Tiarei,PF,-17.5333,-149.3333,73.42,76,100,10.25,light rain
206,Mozarlandia,BR,-14.7447,-50.5706,73.35,93,91,1.88,overcast clouds
207,Georgetown,MY,5.4112,100.3354,77.23,96,20,2.3,few clouds
208,Yaan,NG,7.3833,8.5667,77.65,25,26,3.53,scattered clouds
209,Arman,RU,59.7,150.1667,-24.36,83,15,8.05,few clouds
210,Necochea,AR,-38.5473,-58.7368,55.53,72,40,5.06,scattered clouds
211,Lagoa,PT,39.05,-27.9833,60.24,81,44,29.97,scattered clouds
212,Ixtapa,MX,20.7,-105.2,78.22,81,11,5.01,few clouds
213,Guerrero Negro,MX,27.9769,-114.0611,62.6,54,59,16.87,broken clouds
214,Ponta Do Sol,PT,32.6667,-17.1,74.71,95,100,10.56,overcast clouds
215,Dalvik,IS,65.9702,-18.5286,29.23,95,63,5.86,light snow
216,Utete,TZ,-7.986,38.758,71.44,98,51,1.03,broken clouds
217,Kangaba,ML,11.9333,-8.4167,70.56,17,57,5.66,broken clouds
218,Kennett,US,36.2362,-90.0556,43.03,100,100,0.0,overcast clouds
219,Honningsvag,NO,70.9821,25.9704,24.55,74,20,24.16,few clouds
220,Upernavik,GL,72.7868,-56.1549,13.8,60,100,2.13,overcast clouds
221,Verkhnyaya Inta,RU,65.9811,60.3094,-21.17,99,60,3.38,broken clouds
222,Pangnirtung,CA,66.1451,-65.7125,4.98,94,99,3.65,overcast clouds
223,Faanui,PF,-16.4833,-151.75,77.47,78,100,24.87,overcast clouds
224,Labuhan,ID,-6.8844,112.2051,79.95,82,99,6.89,light rain
225,Asau,RO,46.4333,26.4,34.72,74,96,5.97,overcast clouds
226,Walvis Bay,NA,-22.9575,14.5053,61.09,94,51,7.7,broken clouds
227,Kimparana,ML,12.8347,-4.9244,73.62,13,36,7.87,scattered clouds
228,Bajil,YE,15.0584,43.2851,74.21,79,0,1.12,clear sky
229,Kodiak,US,57.79,-152.4072,29.59,62,0,11.45,clear sky
230,Turan,VN,16.0678,108.2208,69.78,73,75,5.75,broken clouds
231,Dikson,RU,73.5069,80.5464,-0.44,96,100,26.04,snow
232,Mogadishu,SO,2.0371,45.3438,78.55,76,0,17.31,clear sky
233,Kodinsk,RU,58.6881,99.1844,-25.53,100,95,2.86,overcast clouds
234,Mamanguape,BR,-6.8386,-35.1261,75.63,79,59,5.66,broken clouds
235,Kitimat,CA,54.0524,-128.6534,26.91,62,98,0.92,overcast clouds
236,Vestmannaeyjar,IS,63.4427,-20.2734,33.39,71,10,7.38,clear sky
237,Saint George,US,37.1041,-113.5841,42.94,65,35,4.0,scattered clouds
238,Dangeni,RO,47.85,26.9667,33.96,85,94,5.03,overcast clouds
239,Irece,BR,-11.3042,-41.8558,78.06,57,80,5.91,light rain
240,Souillac,MU,-20.5167,57.5167,75.58,83,75,11.5,light rain
241,Provideniya,RU,64.3833,-173.3,12.36,73,100,20.13,shower snow
242,Ushtobe,KZ,45.2514,77.9838,2.14,86,6,4.16,clear sky
243,Jumla,NP,29.2747,82.1838,38.44,18,0,5.46,clear sky
244,Vardo,NO,70.3705,31.1107,13.98,67,57,21.85,broken clouds
245,Kyren,RU,51.6828,102.1408,-10.8,80,29,1.86,scattered clouds
246,Chastyye,RU,57.2888,54.9728,12.04,90,96,6.96,overcast clouds
247,Leningradskiy,RU,69.3833,178.4167,-4.99,71,100,24.36,overcast clouds
248,Tayabo,PH,15.8342,121.0308,77.27,75,98,4.18,overcast clouds
249,Vila,PT,42.0304,-8.1588,50.88,95,100,8.05,overcast clouds
250,Zhangzhou,CN,24.5133,117.6556,55.87,72,80,2.44,broken clouds
251,Arona,ES,28.0996,-16.681,71.38,92,40,3.44,scattered clouds
252,Kargil,IN,34.5667,76.1,19.56,49,75,2.35,broken clouds
253,Clyde River,CA,70.4692,-68.5914,-1.98,90,100,5.17,overcast clouds
254,Rosarito,MX,32.3333,-117.0333,53.47,68,48,11.16,scattered clouds
255,Kieta,PG,-6.2167,155.6333,83.64,74,99,4.16,light rain
256,Garowe,SO,8.4054,48.4845,65.86,83,1,9.62,clear sky
257,Borovoy,RU,55.4333,86.0833,11.48,92,100,8.95,light snow
258,Nicoya,CR,10.1483,-85.452,74.21,87,32,1.74,scattered clouds
